2020-11-09 21:09:26,812 INFO    SenderThread:7564 [sender.py:send_request_defer():185] handle sender defer: 7
2020-11-09 21:09:26,812 INFO    SenderThread:7564 [sender.py:send_request_defer():221] send defer: 8
2020-11-09 21:09:26,813 DEBUG   SenderThread:7564 [sender.py:send():90] send: final
2020-11-09 21:09:26,814 DEBUG   HandlerThread:7564 [handler.py:handle_request():55] handle_request: defer
2020-11-09 21:09:26,814 INFO    HandlerThread:7564 [handler.py:handle_request_defer():69] handle defer: 8
2020-11-09 21:09:26,814 DEBUG   SenderThread:7564 [sender.py:send():90] send: request
2020-11-09 21:09:26,814 DEBUG   SenderThread:7564 [sender.py:send_request():99] send_request: defer
2020-11-09 21:09:26,814 INFO    SenderThread:7564 [sender.py:send_request_defer():185] handle sender defer: 8
2020-11-09 21:09:28,728 DEBUG   HandlerThread:7564 [handler.py:handle_request():55] handle_request: poll_exit
2020-11-09 21:09:28,729 DEBUG   SenderThread:7564 [sender.py:send():90] send: request
2020-11-09 21:09:28,729 DEBUG   SenderThread:7564 [sender.py:send_request():99] send_request: poll_exit
2020-11-09 21:09:28,730 DEBUG   HandlerThread:7564 [handler.py:handle_request():55] handle_request: get_summary
2020-11-09 21:09:28,731 DEBUG   HandlerThread:7564 [handler.py:handle_request():55] handle_request: sampled_history
2020-11-09 21:09:28,732 DEBUG   HandlerThread:7564 [handler.py:handle_request():55] handle_request: shutdown
2020-11-09 21:09:28,732 INFO    HandlerThread:7564 [handler.py:finish():271] shutting down handler
2020-11-09 21:09:28,814 INFO    WriterThread:7564 [datastore.py:close():257] close: c:\Users\kshan\Desktop\Web dev projects\MERN tutorial\Simple-To-Do\wandb\offline-run-20201109_210530-m3b6bibz\run-m3b6bibz.wandb
2020-11-09 21:09:29,729 INFO    SenderThread:7564 [sender.py:finish():630] shutting down sender
2020-11-09 21:09:29,730 INFO    MainThread:7564 [internal.py:handle_exit():138] Internal process exited
