2020-11-09 21:05:31,851 INFO    SenderThread:1284 [sender.py:send_request_defer():221] send defer: 7
2020-11-09 21:05:31,851 DEBUG   HandlerThread:1284 [handler.py:handle_request():55] handle_request: defer
2020-11-09 21:05:31,851 INFO    HandlerThread:1284 [handler.py:handle_request_defer():69] handle defer: 7
2020-11-09 21:05:31,851 DEBUG   SenderThread:1284 [sender.py:send():90] send: request
2020-11-09 21:05:31,851 DEBUG   SenderThread:1284 [sender.py:send_request():99] send_request: defer
2020-11-09 21:05:31,851 INFO    SenderThread:1284 [sender.py:send_request_defer():185] handle sender defer: 7
2020-11-09 21:05:31,851 INFO    SenderThread:1284 [sender.py:send_request_defer():221] send defer: 8
2020-11-09 21:05:31,851 DEBUG   SenderThread:1284 [sender.py:send():90] send: final
2020-11-09 21:05:31,852 DEBUG   HandlerThread:1284 [handler.py:handle_request():55] handle_request: defer
2020-11-09 21:05:31,852 INFO    HandlerThread:1284 [handler.py:handle_request_defer():69] handle defer: 8
2020-11-09 21:05:31,852 DEBUG   SenderThread:1284 [sender.py:send():90] send: request
2020-11-09 21:05:31,852 DEBUG   SenderThread:1284 [sender.py:send_request():99] send_request: defer
2020-11-09 21:05:31,852 INFO    SenderThread:1284 [sender.py:send_request_defer():185] handle sender defer: 8
2020-11-09 21:05:32,892 DEBUG   HandlerThread:1284 [handler.py:handle_request():55] handle_request: poll_exit
2020-11-09 21:05:32,892 DEBUG   SenderThread:1284 [sender.py:send():90] send: request
2020-11-09 21:05:32,893 DEBUG   SenderThread:1284 [sender.py:send_request():99] send_request: poll_exit
2020-11-09 21:05:32,894 DEBUG   HandlerThread:1284 [handler.py:handle_request():55] handle_request: get_summary
2020-11-09 21:05:32,895 DEBUG   HandlerThread:1284 [handler.py:handle_request():55] handle_request: sampled_history
2020-11-09 21:05:32,896 DEBUG   HandlerThread:1284 [handler.py:handle_request():55] handle_request: shutdown
2020-11-09 21:05:32,896 INFO    HandlerThread:1284 [handler.py:finish():271] shutting down handler
2020-11-09 21:05:33,852 INFO    WriterThread:1284 [datastore.py:close():257] close: c:\Users\kshan\Desktop\Web dev projects\MERN tutorial\Simple-To-Do\wandb\offline-run-20201109_210456-1q6eqblj\run-1q6eqblj.wandb
2020-11-09 21:05:33,893 INFO    SenderThread:1284 [sender.py:finish():630] shutting down sender
2020-11-09 21:05:33,894 INFO    MainThread:1284 [internal.py:handle_exit():138] Internal process exited
