2020-11-09 21:04:56,801 INFO    SenderThread:10564 [sender.py:send_request_defer():185] handle sender defer: 7
2020-11-09 21:04:56,801 INFO    SenderThread:10564 [sender.py:send_request_defer():221] send defer: 8
2020-11-09 21:04:56,801 DEBUG   SenderThread:10564 [sender.py:send():90] send: final
2020-11-09 21:04:56,801 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: defer
2020-11-09 21:04:56,802 INFO    HandlerThread:10564 [handler.py:handle_request_defer():69] handle defer: 8
2020-11-09 21:04:56,802 DEBUG   SenderThread:10564 [sender.py:send():90] send: request
2020-11-09 21:04:56,802 DEBUG   SenderThread:10564 [sender.py:send_request():99] send_request: defer
2020-11-09 21:04:56,802 INFO    SenderThread:10564 [sender.py:send_request_defer():185] handle sender defer: 8
2020-11-09 21:04:58,709 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: poll_exit
2020-11-09 21:04:58,709 DEBUG   SenderThread:10564 [sender.py:send():90] send: request
2020-11-09 21:04:58,709 DEBUG   SenderThread:10564 [sender.py:send_request():99] send_request: poll_exit
2020-11-09 21:04:58,711 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: get_summary
2020-11-09 21:04:58,711 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: sampled_history
2020-11-09 21:04:58,712 DEBUG   HandlerThread:10564 [handler.py:handle_request():55] handle_request: shutdown
2020-11-09 21:04:58,712 INFO    HandlerThread:10564 [handler.py:finish():271] shutting down handler
2020-11-09 21:04:58,802 INFO    WriterThread:10564 [datastore.py:close():257] close: c:\Users\kshan\Desktop\Web dev projects\MERN tutorial\Simple-To-Do\wandb\offline-run-20201109_210125-j6pah2px\run-j6pah2px.wandb
2020-11-09 21:04:59,709 INFO    SenderThread:10564 [sender.py:finish():630] shutting down sender
2020-11-09 21:04:59,709 INFO    MainThread:10564 [internal.py:handle_exit():138] Internal process exited
